Brand,Ram,ROM,Online-Price,Retail-Price
Samsung galaxy A72 5G,4,128,14999,12999
Oppo K1,4,128,27499,23499
Oppo F19 Pro 5G,4,128,26999,26999
OnePlus Nord N20,6,128,28890,30999
Oppo A53s,12,256,49999,54999
Samsung galaxy M01,8,128,25499,27999
Vivo V21,8,64,12499,11999
Oppo A92s,8,128,14999,13999
Oppo A1,8,256,37499,39999
Oppo Reno 8,8,128,31499,33499
Oppo R15,8,256,65999,69999
Vivo S7,8,256,41499,43999
Oppo R11s Plus,6,128,19999,18999
Samsung galaxy S21 Ultra,8,512,154999,169999
Oppo A8 (2020),6,256,88999,94999
OnePlus One 5G,3,128,40999,38999
OnePlus 9R,6,256,76999,79999
Samsung galaxy A50s,8,128,21999,19999
Samsung galaxy M53 5G,6,128,15999,17999
OnePlus Nord 2,8,128,26499,28499
Samsung galaxy A80,4,256,91999,97999
Oppo F9,6,128,31499,33499
Vivo X60 Pro+,6,128,13999,14499
Vivo Y33s,8,256,43999,46999
Oppo R9,6,128,20499,22499
Oppo F5 Youth,8,64,12499,11999
Samsung galaxy A71,2,32,8499,7999
OnePlus 5T 5G,8,32,9499,8999
Oppo Reno 4 SE,8,128,11499,10999
Samsung galaxy A35 5G,4,64,10999,9999
Samsung galaxy A22 5G,4,64,10499,9499
Samsung galaxy F12,8,128,21499,20999
OnePlus 9RT,12,32,9999,8999
Oppo F19,6,128,22999,24999
Oppo A53,6,128,32499,34999
OnePlus 11,3,128,16499,18499
Oppo R17 Pro,6,128,39999,41999
Vivo V25 Pro,8,64,13999,12999
Samsung galaxy A25 5G,6,128,20999,22499
Samsung galaxy A82 5G,4,256,38999,40999
Oppo Reno 6,12,128,49999,52999
Samsung galaxy A21s,8,256,29999,32999
OnePlus 8 Pro McLaren,8,128,18999,21999
Oppo Reno 5,8,128,22490,25490
Oppo A3,12,128,28990,31990
Oppo R11,8,64,15990,18990
Samsung galaxy M21 2021,6,128,16990,19990
OnePlus 10 Pro,8,64,11490,13490
Oppo A5s,4,128,19990,22990
Oppo Reno 2,12,128,27990,30990
Oppo F17,8,128,20490,23490
Oppo Reno 3 Pro,4,256,25990,28990
Samsung galaxy A34 5G,12,128,34990,37990
Oppo A53 (2020),4,128,14490,17490
Oppo F19 Pro (5G),4,64,14999,16999
Samsung galaxy Z Flip 3,3,128,24990,27990
Oppo A3s,4,128,19990,22990
Oppo A53 5G,4,128,22990,25490
Oppo A54,8,256,34990,37990
Oppo Reno 4,3,128,16990,19990
Oppo A7 2020,8,128,16490,18490
Oppo Reno 5F,4,128,25990,28990
Oppo Reno 8 Pro,8,128,22490,25490
Oppo A31 (2020),4,256,64990,69990
